,cena (zł),powierzchnia,liczba pokoi,piętro,adres,rynek,rodzaj zabudowy,materiał budynku,okna,ogrzewanie,rok budowy,stan wykończenia (do),czynsz,forma własności,internet,telewizja kablowa,telefon,rolety antywłamaniowe,drzwi/okna antywłamaniowe,domofon/wideofon,monitoring/ochrona,system alarmowy,teren zamknięty,meble,pralka,zmywarka,lodówka,kuchenka,piekarnik,telewizor,balkon,pom. użytkowe,garaż/miejsce parkingowe,piwnica,ogródek,taras,winda,dwupoziomowe,oddzielna kuchnia,klimatyzacja
1,559000.0,86.0,3,1,Redłowo,wtórny,blok,cegła,0,miejskie,1970,zamieszkania,0,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4,325000.0,51.0,3,1,Gdynia,pierwotny,apartamentowiec,cegła,plastikowe,gazowe,2016,wykończenia,0,pełna,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
5,200000.0,42.2,2,3,Chylonia,wtórny,blok,wielka,plastikowe,miejskie,1970,zamieszkania,0,spółdzielcze,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
6,565862.0,94.62,4,3,Gdynia,pierwotny,blok,cegła,plastikowe,miejskie,2017,wykończenia,0,pełna,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
7,715000.0,108.44,4,1,Gdynia,pierwotny,apartamentowiec,silikat,drewniane,miejskie,2017,wykończenia,5,pełna,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
8,595000.0,78.6,3,2,Redłowo,wtórny,apartamentowiec,0,0,0,2000,0,0,pełna,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
9,2100000.0,98.0,4,3,Orłowo,wtórny,apartamentowiec,0,0,miejskie,2016,wykończenia,0,pełna,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
10,500000.0,123.0,6,p,Gdynia,wtórny,0,0,0,0,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,740000.0,194.8,5,1,Gdynia,wtórny,0,0,0,0,1986,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1290000.0,87.0,3,6,Mały Kack,wtórny,apartamentowiec,0,0,miejskie,2013,0,0,pełna,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
13,1080000.0,95.0,3,3,Redłowo,wtórny,0,0,0,0,2008,0,0,pełna,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
14,530000.0,71.0,3,p,Mały Kack,wtórny,apartamentowiec,0,0,miejskie,2015,0,0,pełna,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
15,2100000.0,143.21,4,p,Kamienna Góra,wtórny,kamienica,0,0,0,1936,0,0,pełna,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
16,3700000.0,300.0,5,4,Gdynia,wtórny,apartamentowiec,0,0,miejskie,2009,0,0,pełna,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0
17,2080000.0,221.0,5,1,Mały Kack,wtórny,apartamentowiec,0,0,gazowe,2004,0,0,pełna,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
18,719000.0,88.2,4,1,Orłowo,wtórny,apartamentowiec,0,0,gazowe,2000,0,0,pełna,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
19,699000.0,80.0,3,2,Mały Kack,wtórny,apartamentowiec,0,0,gazowe,2004,0,0,pełna,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
