"cena (zł)","powierzchnia","liczba pokoi","piętro","adres","rynek","rodzaj zabudowy","materiał budynku","okna","ogrzewanie","rok budowy","stan wykończenia (do)","czynsz","forma własności","internet","telewizja kablowa","telefon","rolety antywłamaniowe","drzwi/okna antywłamaniowe","domofon/wideofon","monitoring/ochrona","system alarmowy","teren zamknięty","meble","pralka","zmywarka","lodówka","kuchenka","piekarnik","telewizor","balkon","pom. użytkowe","garaż/miejsce parkingowe","piwnica","ogródek","taras","winda","dwupoziomowe","oddzielna kuchnia","klimatyzacja"
"","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"393 860","47,30","2","2","Śródmieście","pierwotny","0","0","0","0","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"2 590 000","168,20","5","5","Gdańsk","pierwotny","apartamentowiec","0","0","miejskie","2012","0","0","pełna","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"639 000","97","4","1","Wrzeszcz","wtórny","kamienica","cegła","0","miejskie","1925","zamieszkania","450","pełna","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"399 000","55,80","3","5","Morena","wtórny","apartamentowiec","0","0","miejskie","2016","zamieszkania","400","pełna","1","1","0","0","1","1","1","0","1","1","0","0","0","1","1","0","1","1","1","1","0","0","1","0","0","0"
"620 000","120,57","6","1","Gdańsk","pierwotny","dom","silikat","plastikowe","gazowe","2016","wykończenia","0","pełna","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0"
"315 000","61,55","4","p","Chełm","wtórny","kamienica","cegła","plastikowe","miejskie","1941","remontu","490","0","1","1","0","0","1","1","0","1","0","1","1","0","1","1","1","0","0","0","0","1","1","0","0","0","1","0"
"222 306","47,40","2","2","Chełm","pierwotny","blok","silikat","plastikowe","miejskie","2017","0","0","pełna","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0","0","0"
"450 000","49","2","1","Oliwa","wtórny","apartamentowiec","cegła","plastikowe","miejskie","2008","zamieszkania","0","pełna","1","1","0","0","0","1","1","0","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0"
"399 000","55,80","3","5","Morena","wtórny","apartamentowiec","0","0","miejskie","2016","zamieszkania","400","pełna","1","1","0","0","1","1","1","0","1","1","0","0","0","1","1","0","1","1","1","1","0","0","1","0","0","0"
"385 000","55,30","2","5","Zaspa","wtórny","blok","pustak","plastikowe","miejskie","1993","zamieszkania","350","spółdzielcze","1","1","1","0","0","1","0","0","0","1","1","0","1","1","1","0","1","0","1","1","0","0","1","0","1","0"
"2 800 000","180","2","p","Brzeźno","wtórny","0","0","0","0","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"619 000","121","5","3","Gdańsk","wtórny","blok","cegła","plastikowe","miejskie","2006","zamieszkania","650","pełna","1","1","0","0","0","1","0","1","0","1","0","1","1","1","1","0","1","0","0","1","0","0","0","1","0","0"
"920 000","89","4","4","Śródmieście","wtórny","apartamentowiec","cegła","drewniane","miejskie","2010","zamieszkania","500","pełna","1","1","1","0","0","1","1","0","1","0","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","0"
"280 000","47","2","1","Kiełpinek","wtórny","blok","0","plastikowe","miejskie","2011","zamieszkania","177","pełna","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0"
"320 000","77","3","2","Nowy Port","wtórny","kamienica","cegła","plastikowe","gazowe","0","zamieszkania","0","pełna","1","1","0","0","1","1","0","0","0","1","1","1","1","1","0","0","1","0","0","1","0","0","0","0","1","0"
"359 000","63,10",""," ","Chełm","wtórny","blok","inne","0","miejskie","1991","0","0","spółdzielcze","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"450 000","93","4","1","Osowa","wtórny","blok","0","0","gazowe","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
