,cena (zł),powierzchnia,liczba pokoi,piętro,adres,rynek,rodzaj zabudowy,materiał budynku,okna,ogrzewanie,rok budowy,stan wykończenia (do),czynsz,forma własności,internet,telewizja kablowa,telefon,rolety antywłamaniowe,drzwi/okna antywłamaniowe,domofon/wideofon,monitoring/ochrona,system alarmowy,teren zamknięty,meble,pralka,zmywarka,lodówka,kuchenka,piekarnik,telewizor,balkon,pom. użytkowe,garaż/miejsce parkingowe,piwnica,ogródek,taras,winda,dwupoziomowe,oddzielna kuchnia,klimatyzacja
1,499000.0,68.0,3,p,Wyścigi,wtórny,kamienica,0,0,miejskie,1960,remontu,0,pełna,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2,1050000.0,75.0,3,p,Dolny,wtórny,kamienica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,639000.0,85.0,3,1,Sopot,wtórny,0,0,0,0,0,0,0,pełna,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4,850000.0,95.3,4,1,Dolny,wtórny,kamienica,0,0,piece,1920,remontu,0,pełna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5,855000.0,51.0,2,2,Górny,wtórny,apartamentowiec,0,0,miejskie,2014,0,0,pełna,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
6,1305000.0,87.0,3,3,Dolny,wtórny,kamienica,0,0,gazowe,1906,0,0,pełna,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7,399000.0,42.0,2,4,Dolny,wtórny,blok,0,0,miejskie,1971,remontu,0,pełna,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
8,1120000.0,99.0,3,p,Górny,wtórny,kamienica,0,0,0,1901,remontu,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
9,855000.0,74.6,3,1,Centrum,wtórny,kamienica,0,0,gazowe,1920,zamieszkania,0,pełna,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10,1700000.0,100.0,4,p,Górny,wtórny,kamienica,0,0,gazowe,1930,0,0,pełna,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
11,888000.0,74.0,3,2,Wyścigi,wtórny,blok,0,0,miejskie,1997,0,0,pełna,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
12,1950000.0,100.0,3,3,Dolny,wtórny,kamienica,0,0,gazowe,1912,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
13,3290000.0,197.0,5,p,Sopot,wtórny,apartamentowiec,0,0,0,2009,0,0,pełna,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
14,1900000.0,80.0,3,p,Wyścigi,wtórny,apartamentowiec,0,0,miejskie,2006,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
15,680000.0,65.7,3,3,Centrum,wtórny,kamienica,0,0,gazowe,1927,zamieszkania,0,pełna,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,2250000.0,115.0,3,2,Górny,wtórny,kamienica,0,0,gazowe,1905,0,0,pełna,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,2950000.0,165.5,4,2,Dolny,wtórny,kamienica,0,0,0,1905,0,0,pełna,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
